Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SCS01G02140,2012.06,365,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2013.06,409,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2014.06,380,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2015.06,282,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2016.06,219,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2017.06,191,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2018.06,232,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2019.06,222,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2020.06,206,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2021.06,185,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2022.06,212,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2023.06,226,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2024.06,194,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2025.06,142,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02142,2009.06,3737,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2010.06,4013,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2011.06,4314,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2012.06,4667,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2013.06,4693,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
GFSA.SCS01G02142,2014.06,4783,REVISED,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Sales of goods and services,,,,,Dollars,6
