Period,Anzsic,Anzsic_descriptor,Variable2,Units,Data_value,Gas,Variable1
2015.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11244793,Carbon dioxide equivalents,Seasonally adjusted
2015.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11344419.9,Carbon dioxide equivalents,Seasonally adjusted
2016.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11382702.7,Carbon dioxide equivalents,Seasonally adjusted
2016.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11170550.2,Carbon dioxide equivalents,Seasonally adjusted
2016.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11259434.5,Carbon dioxide equivalents,Seasonally adjusted
2016.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11205244.6,Carbon dioxide equivalents,Seasonally adjusted
2017.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11320560.6,Carbon dioxide equivalents,Seasonally adjusted
2017.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11369186.8,Carbon dioxide equivalents,Seasonally adjusted
2017.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11286773.3,Carbon dioxide equivalents,Seasonally adjusted
2017.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11219687.1,Carbon dioxide equivalents,Seasonally adjusted
2018.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11210604.2,Carbon dioxide equivalents,Seasonally adjusted
2018.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11351722.7,Carbon dioxide equivalents,Seasonally adjusted
2018.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11484738.1,Carbon dioxide equivalents,Seasonally adjusted
2018.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11439511.2,Carbon dioxide equivalents,Seasonally adjusted
2019.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11449434.3,Carbon dioxide equivalents,Seasonally adjusted
2019.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11491623.2,Carbon dioxide equivalents,Seasonally adjusted
2019.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11463210.2,Carbon dioxide equivalents,Seasonally adjusted
2019.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11470617.6,Carbon dioxide equivalents,Seasonally adjusted
2020.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11431771.9,Carbon dioxide equivalents,Seasonally adjusted
2020.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11215276.2,Carbon dioxide equivalents,Seasonally adjusted
2020.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11543499.2,Carbon dioxide equivalents,Seasonally adjusted
2020.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11507242.8,Carbon dioxide equivalents,Seasonally adjusted
2021.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11516436.6,Carbon dioxide equivalents,Seasonally adjusted
2021.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11487231.2,Carbon dioxide equivalents,Seasonally adjusted
2021.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11324436,Carbon dioxide equivalents,Seasonally adjusted
2021.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11201660.6,Carbon dioxide equivalents,Seasonally adjusted
2022.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11146451.5,Carbon dioxide equivalents,Seasonally adjusted
2022.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,11025336.5,Carbon dioxide equivalents,Seasonally adjusted
2022.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10999297.9,Carbon dioxide equivalents,Seasonally adjusted
2022.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10959466.7,Carbon dioxide equivalents,Seasonally adjusted
2023.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10849308.9,Carbon dioxide equivalents,Seasonally adjusted
2023.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10859257.7,Carbon dioxide equivalents,Seasonally adjusted
2023.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10773331.9,Carbon dioxide equivalents,Seasonally adjusted
2023.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10782116.7,Carbon dioxide equivalents,Seasonally adjusted
2024.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10748428.9,Carbon dioxide equivalents,Seasonally adjusted
2024.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10715918.7,Carbon dioxide equivalents,Seasonally adjusted
2024.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10672003.1,Carbon dioxide equivalents,Seasonally adjusted
2024.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10681317.5,Carbon dioxide equivalents,Seasonally adjusted
2025.03,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10730269.7,Carbon dioxide equivalents,Seasonally adjusted
2025.06,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10712646.6,Carbon dioxide equivalents,Seasonally adjusted
2025.09,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10676319.3,Carbon dioxide equivalents,Seasonally adjusted
2025.12,AAZ,"Agriculture, forestry, and fishing",Emissions,Tonnes,10680474.6,Carbon dioxide equivalents,Seasonally adjusted
2010.03,BB1,Mining,Emissions,Tonnes,576604.7,Carbon dioxide equivalents,Seasonally adjusted
2010.06,BB1,Mining,Emissions,Tonnes,599289.2,Carbon dioxide equivalents,Seasonally adjusted
2010.09,BB1,Mining,Emissions,Tonnes,625028.2,Carbon dioxide equivalents,Seasonally adjusted
2010.12,BB1,Mining,Emissions,Tonnes,622958.7,Carbon dioxide equivalents,Seasonally adjusted
2011.03,BB1,Mining,Emissions,Tonnes,578402.9,Carbon dioxide equivalents,Seasonally adjusted
2011.06,BB1,Mining,Emissions,Tonnes,582707.9,Carbon dioxide equivalents,Seasonally adjusted
2011.09,BB1,Mining,Emissions,Tonnes,597185.1,Carbon dioxide equivalents,Seasonally adjusted
2011.12,BB1,Mining,Emissions,Tonnes,550175.9,Carbon dioxide equivalents,Seasonally adjusted
2012.03,BB1,Mining,Emissions,Tonnes,494064.2,Carbon dioxide equivalents,Seasonally adjusted
2012.06,BB1,Mining,Emissions,Tonnes,476893.2,Carbon dioxide equivalents,Seasonally adjusted
2012.09,BB1,Mining,Emissions,Tonnes,446974.6,Carbon dioxide equivalents,Seasonally adjusted
2012.12,BB1,Mining,Emissions,Tonnes,389707.7,Carbon dioxide equivalents,Seasonally adjusted
2013.03,BB1,Mining,Emissions,Tonnes,377634.4,Carbon dioxide equivalents,Seasonally adjusted
2013.06,BB1,Mining,Emissions,Tonnes,405199.2,Carbon dioxide equivalents,Seasonally adjusted
2013.09,BB1,Mining,Emissions,Tonnes,335506.8,Carbon dioxide equivalents,Seasonally adjusted
2013.12,BB1,Mining,Emissions,Tonnes,356618.4,Carbon dioxide equivalents,Seasonally adjusted
2014.03,BB1,Mining,Emissions,Tonnes,391050.1,Carbon dioxide equivalents,Seasonally adjusted
2014.06,BB1,Mining,Emissions,Tonnes,371727.1,Carbon dioxide equivalents,Seasonally adjusted
2014.09,BB1,Mining,Emissions,Tonnes,395694.3,Carbon dioxide equivalents,Seasonally adjusted
2014.12,BB1,Mining,Emissions,Tonnes,349628.5,Carbon dioxide equivalents,Seasonally adjusted
2015.03,BB1,Mining,Emissions,Tonnes,350278.8,Carbon dioxide equivalents,Seasonally adjusted
2015.06,BB1,Mining,Emissions,Tonnes,421235.2,Carbon dioxide equivalents,Seasonally adjusted
2015.09,BB1,Mining,Emissions,Tonnes,448272.7,Carbon dioxide equivalents,Seasonally adjusted
2015.12,BB1,Mining,Emissions,Tonnes,412637,Carbon dioxide equivalents,Seasonally adjusted
2016.03,BB1,Mining,Emissions,Tonnes,394823.4,Carbon dioxide equivalents,Seasonally adjusted
2016.06,BB1,Mining,Emissions,Tonnes,355570.9,Carbon dioxide equivalents,Seasonally adjusted
2016.09,BB1,Mining,Emissions,Tonnes,387125.8,Carbon dioxide equivalents,Seasonally adjusted
2016.12,BB1,Mining,Emissions,Tonnes,331645.9,Carbon dioxide equivalents,Seasonally adjusted
2017.03,BB1,Mining,Emissions,Tonnes,319837.1,Carbon dioxide equivalents,Seasonally adjusted
2017.06,BB1,Mining,Emissions,Tonnes,334951.5,Carbon dioxide equivalents,Seasonally adjusted
2017.09,BB1,Mining,Emissions,Tonnes,347238,Carbon dioxide equivalents,Seasonally adjusted
2017.12,BB1,Mining,Emissions,Tonnes,364234.4,Carbon dioxide equivalents,Seasonally adjusted
2018.03,BB1,Mining,Emissions,Tonnes,337705.1,Carbon dioxide equivalents,Seasonally adjusted
2018.06,BB1,Mining,Emissions,Tonnes,322253.1,Carbon dioxide equivalents,Seasonally adjusted
2018.09,BB1,Mining,Emissions,Tonnes,328519.6,Carbon dioxide equivalents,Seasonally adjusted
2018.12,BB1,Mining,Emissions,Tonnes,306213.2,Carbon dioxide equivalents,Seasonally adjusted
2019.03,BB1,Mining,Emissions,Tonnes,314370.6,Carbon dioxide equivalents,Seasonally adjusted
2019.06,BB1,Mining,Emissions,Tonnes,336033.3,Carbon dioxide equivalents,Seasonally adjusted
2019.09,BB1,Mining,Emissions,Tonnes,337216.5,Carbon dioxide equivalents,Seasonally adjusted
2019.12,BB1,Mining,Emissions,Tonnes,324917.8,Carbon dioxide equivalents,Seasonally adjusted
2020.03,BB1,Mining,Emissions,Tonnes,302559.2,Carbon dioxide equivalents,Seasonally adjusted
2020.06,BB1,Mining,Emissions,Tonnes,252735,Carbon dioxide equivalents,Seasonally adjusted
2020.09,BB1,Mining,Emissions,Tonnes,278810.1,Carbon dioxide equivalents,Seasonally adjusted
2020.12,BB1,Mining,Emissions,Tonnes,272198.4,Carbon dioxide equivalents,Seasonally adjusted
2021.03,BB1,Mining,Emissions,Tonnes,281058.9,Carbon dioxide equivalents,Seasonally adjusted
2021.06,BB1,Mining,Emissions,Tonnes,280016.1,Carbon dioxide equivalents,Seasonally adjusted
2021.09,BB1,Mining,Emissions,Tonnes,273000.6,Carbon dioxide equivalents,Seasonally adjusted
2021.12,BB1,Mining,Emissions,Tonnes,271448.4,Carbon dioxide equivalents,Seasonally adjusted
2022.03,BB1,Mining,Emissions,Tonnes,313287.3,Carbon dioxide equivalents,Seasonally adjusted
2022.06,BB1,Mining,Emissions,Tonnes,335604.7,Carbon dioxide equivalents,Seasonally adjusted
2022.09,BB1,Mining,Emissions,Tonnes,315380.6,Carbon dioxide equivalents,Seasonally adjusted
2022.12,BB1,Mining,Emissions,Tonnes,320946.1,Carbon dioxide equivalents,Seasonally adjusted
2023.03,BB1,Mining,Emissions,Tonnes,286290.8,Carbon dioxide equivalents,Seasonally adjusted
2023.06,BB1,Mining,Emissions,Tonnes,289358.1,Carbon dioxide equivalents,Seasonally adjusted
2023.09,BB1,Mining,Emissions,Tonnes,268751.5,Carbon dioxide equivalents,Seasonally adjusted
2023.12,BB1,Mining,Emissions,Tonnes,289414.9,Carbon dioxide equivalents,Seasonally adjusted
2024.03,BB1,Mining,Emissions,Tonnes,276015.7,Carbon dioxide equivalents,Seasonally adjusted
2024.06,BB1,Mining,Emissions,Tonnes,269299.6,Carbon dioxide equivalents,Seasonally adjusted
2024.09,BB1,Mining,Emissions,Tonnes,281781.1,Carbon dioxide equivalents,Seasonally adjusted
2024.12,BB1,Mining,Emissions,Tonnes,248512.4,Carbon dioxide equivalents,Seasonally adjusted
2025.03,BB1,Mining,Emissions,Tonnes,246206.7,Carbon dioxide equivalents,Seasonally adjusted
2025.06,BB1,Mining,Emissions,Tonnes,235326.6,Carbon dioxide equivalents,Seasonally adjusted
2025.09,BB1,Mining,Emissions,Tonnes,244582.1,Carbon dioxide equivalents,Seasonally adjusted
2025.12,BB1,Mining,Emissions,Tonnes,224500.3,Carbon dioxide equivalents,Seasonally adjusted
2010.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,145995.6,Carbon dioxide equivalents,Seasonally adjusted
2010.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,153949.1,Carbon dioxide equivalents,Seasonally adjusted
2010.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,152597.9,Carbon dioxide equivalents,Seasonally adjusted
2010.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,144846.1,Carbon dioxide equivalents,Seasonally adjusted
2011.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,151835.1,Carbon dioxide equivalents,Seasonally adjusted
2011.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,153609.5,Carbon dioxide equivalents,Seasonally adjusted
2011.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,146051.6,Carbon dioxide equivalents,Seasonally adjusted
2011.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,156952,Carbon dioxide equivalents,Seasonally adjusted
2012.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,159793.3,Carbon dioxide equivalents,Seasonally adjusted
2012.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,164556.3,Carbon dioxide equivalents,Seasonally adjusted
2012.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,162917.7,Carbon dioxide equivalents,Seasonally adjusted
2012.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,150152.9,Carbon dioxide equivalents,Seasonally adjusted
2013.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,147474.6,Carbon dioxide equivalents,Seasonally adjusted
2013.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,139287.4,Carbon dioxide equivalents,Seasonally adjusted
2013.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,139169.7,Carbon dioxide equivalents,Seasonally adjusted
2013.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,139620,Carbon dioxide equivalents,Seasonally adjusted
2014.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,132679.3,Carbon dioxide equivalents,Seasonally adjusted
2014.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,136381.7,Carbon dioxide equivalents,Seasonally adjusted
2014.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,150154.7,Carbon dioxide equivalents,Seasonally adjusted
2014.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,143743.1,Carbon dioxide equivalents,Seasonally adjusted
2015.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,135766.4,Carbon dioxide equivalents,Seasonally adjusted
2015.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,131911.2,Carbon dioxide equivalents,Seasonally adjusted
2015.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,135970.1,Carbon dioxide equivalents,Seasonally adjusted
2015.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,150088.1,Carbon dioxide equivalents,Seasonally adjusted
2016.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,161204.8,Carbon dioxide equivalents,Seasonally adjusted
2016.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,155305.7,Carbon dioxide equivalents,Seasonally adjusted
2016.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,166676.7,Carbon dioxide equivalents,Seasonally adjusted
2016.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,86413.4,Carbon dioxide equivalents,Seasonally adjusted
2017.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,165403.5,Carbon dioxide equivalents,Seasonally adjusted
2017.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,153443.4,Carbon dioxide equivalents,Seasonally adjusted
2017.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,155705.1,Carbon dioxide equivalents,Seasonally adjusted
2017.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,165968,Carbon dioxide equivalents,Seasonally adjusted
2018.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,157447.8,Carbon dioxide equivalents,Seasonally adjusted
2018.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,159285.6,Carbon dioxide equivalents,Seasonally adjusted
2018.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,150424.8,Carbon dioxide equivalents,Seasonally adjusted
2018.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,152742.9,Carbon dioxide equivalents,Seasonally adjusted
2019.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,149366.7,Carbon dioxide equivalents,Seasonally adjusted
2019.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,148906.9,Carbon dioxide equivalents,Seasonally adjusted
2019.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,151760.4,Carbon dioxide equivalents,Seasonally adjusted
2019.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,153427.1,Carbon dioxide equivalents,Seasonally adjusted
2020.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,137283.6,Carbon dioxide equivalents,Seasonally adjusted
2020.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,122129.2,Carbon dioxide equivalents,Seasonally adjusted
2020.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,146431.2,Carbon dioxide equivalents,Seasonally adjusted
2020.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,145853.7,Carbon dioxide equivalents,Seasonally adjusted
2021.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,148262.3,Carbon dioxide equivalents,Seasonally adjusted
2021.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,146249.4,Carbon dioxide equivalents,Seasonally adjusted
2021.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,127035,Carbon dioxide equivalents,Seasonally adjusted
2021.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,113127.7,Carbon dioxide equivalents,Seasonally adjusted
2022.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,125568.5,Carbon dioxide equivalents,Seasonally adjusted
2022.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,115832.9,Carbon dioxide equivalents,Seasonally adjusted
2022.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,135978.7,Carbon dioxide equivalents,Seasonally adjusted
2022.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,141604,Carbon dioxide equivalents,Seasonally adjusted
2023.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,124620.3,Carbon dioxide equivalents,Seasonally adjusted
2023.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,130001,Carbon dioxide equivalents,Seasonally adjusted
2023.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,114663.2,Carbon dioxide equivalents,Seasonally adjusted
2023.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,130500.3,Carbon dioxide equivalents,Seasonally adjusted
2024.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,128052.9,Carbon dioxide equivalents,Seasonally adjusted
2024.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,124118.9,Carbon dioxide equivalents,Seasonally adjusted
2024.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,117860.5,Carbon dioxide equivalents,Seasonally adjusted
2024.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,130759.7,Carbon dioxide equivalents,Seasonally adjusted
2025.03,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,146375.3,Carbon dioxide equivalents,Seasonally adjusted
2025.06,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,156745,Carbon dioxide equivalents,Seasonally adjusted
2025.09,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,146364.5,Carbon dioxide equivalents,Seasonally adjusted
2025.12,C34,Wood and paper products manufacturing and printing,Emissions,Tonnes,130838.7,Carbon dioxide equivalents,Seasonally adjusted
2010.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,954692.5,Carbon dioxide equivalents,Seasonally adjusted
2010.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1034649.5,Carbon dioxide equivalents,Seasonally adjusted
2010.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,959957.5,Carbon dioxide equivalents,Seasonally adjusted
2010.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,958127.9,Carbon dioxide equivalents,Seasonally adjusted
2011.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,958592.9,Carbon dioxide equivalents,Seasonally adjusted
2011.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,967307.7,Carbon dioxide equivalents,Seasonally adjusted
2011.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,939655.4,Carbon dioxide equivalents,Seasonally adjusted
2011.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,956440.8,Carbon dioxide equivalents,Seasonally adjusted
2012.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,918805.7,Carbon dioxide equivalents,Seasonally adjusted
2012.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,981877.4,Carbon dioxide equivalents,Seasonally adjusted
2012.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,937143.3,Carbon dioxide equivalents,Seasonally adjusted
2012.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,969622.5,Carbon dioxide equivalents,Seasonally adjusted
2013.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,995428.8,Carbon dioxide equivalents,Seasonally adjusted
2013.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1065110.1,Carbon dioxide equivalents,Seasonally adjusted
2013.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1053022.9,Carbon dioxide equivalents,Seasonally adjusted
2013.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1111652.2,Carbon dioxide equivalents,Seasonally adjusted
2014.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1023863.6,Carbon dioxide equivalents,Seasonally adjusted
2014.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1018681.7,Carbon dioxide equivalents,Seasonally adjusted
2014.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1051452.9,Carbon dioxide equivalents,Seasonally adjusted
2014.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1112254.5,Carbon dioxide equivalents,Seasonally adjusted
2015.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1026672.1,Carbon dioxide equivalents,Seasonally adjusted
2015.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1050747.8,Carbon dioxide equivalents,Seasonally adjusted
2015.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1031221.3,Carbon dioxide equivalents,Seasonally adjusted
2015.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1069687.9,Carbon dioxide equivalents,Seasonally adjusted
2016.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,951021.8,Carbon dioxide equivalents,Seasonally adjusted
2016.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,942691.4,Carbon dioxide equivalents,Seasonally adjusted
2016.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,981566.9,Carbon dioxide equivalents,Seasonally adjusted
2016.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,946370.5,Carbon dioxide equivalents,Seasonally adjusted
2017.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,945492.3,Carbon dioxide equivalents,Seasonally adjusted
2017.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,986136,Carbon dioxide equivalents,Seasonally adjusted
2017.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,967979.6,Carbon dioxide equivalents,Seasonally adjusted
2017.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1008732,Carbon dioxide equivalents,Seasonally adjusted
2018.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,913634.5,Carbon dioxide equivalents,Seasonally adjusted
2018.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,977087.3,Carbon dioxide equivalents,Seasonally adjusted
2018.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,963276.8,Carbon dioxide equivalents,Seasonally adjusted
2018.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,993797.6,Carbon dioxide equivalents,Seasonally adjusted
2019.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,976449.8,Carbon dioxide equivalents,Seasonally adjusted
2019.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,976541.1,Carbon dioxide equivalents,Seasonally adjusted
2019.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,987512.9,Carbon dioxide equivalents,Seasonally adjusted
2019.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,1022235.2,Carbon dioxide equivalents,Seasonally adjusted
2020.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,851866.1,Carbon dioxide equivalents,Seasonally adjusted
2020.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,750451.9,Carbon dioxide equivalents,Seasonally adjusted
2020.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,940463.8,Carbon dioxide equivalents,Seasonally adjusted
2020.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,931392.1,Carbon dioxide equivalents,Seasonally adjusted
2021.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,879237.8,Carbon dioxide equivalents,Seasonally adjusted
2021.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,929592.5,Carbon dioxide equivalents,Seasonally adjusted
2021.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,952398.5,Carbon dioxide equivalents,Seasonally adjusted
2021.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,939078.9,Carbon dioxide equivalents,Seasonally adjusted
2022.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,979436.7,Carbon dioxide equivalents,Seasonally adjusted
2022.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,937651,Carbon dioxide equivalents,Seasonally adjusted
2022.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,920048.1,Carbon dioxide equivalents,Seasonally adjusted
2022.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,806424,Carbon dioxide equivalents,Seasonally adjusted
2023.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,816655.5,Carbon dioxide equivalents,Seasonally adjusted
2023.06,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,883077.9,Carbon dioxide equivalents,Seasonally adjusted
2023.09,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,905503.4,Carbon dioxide equivalents,Seasonally adjusted
2023.12,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,862184.1,Carbon dioxide equivalents,Seasonally adjusted
2024.03,C67,Non-metallic mineral and metallic product manufacturing,Emissions,Tonnes,844316.1,Carbon dioxide equivalents,Seasonally adjusted
